Taxon,MorphogroupID,CladeID,SpecimenID,HerbariumSheetID,Elevation,Latitude,Longitude,LAMLEN,LAMWID,PEDLEN,OVALEN,CALYTUBLEN,CALLOBLEN,PETLEN,PETWID,FILLEN,STYLEN
paniculata,19,III,GL2651,MO4852054,2950,-3.466111111,-79.60416667,64,22,3.85,1.93,1.6,0.42,6.56,3.63,3.4,3.9
paniculata,19,III,PHV6683,MO1838229,2800,-4.646666667,-79.72777778,64.33,20.67,4.13,1.71,1.21,0.69,6.14,3.05,3.4,3.4
paniculata,19,III,FZ254,MOUNM_FZ254,2485,-5.376111111,-79.56827778,59.33,23,5.26,1.39,0.72,0.32,5.58,2.62,3.9,3.6
paniculata,19,III,CD9839,MO5863490,2200,-6.516666667,-79.15,51,20,3.92,1.47,0.91,0.15,5.17,2.51,3.5,3.48
paniculata,19,III,IS4929,F2146731,2150,-6.566666667,-78.8,69.67,20.67,3,1.55,0.72,0.24,5.17,2.83,3.3,3.1
discolor,19,III,EK18727,US1354092,3300,7.369722222,-72.90916667,76.67,22.67,2.77,1.48,0.85,0.67,5.12,3,2.9,2.2
paniculata,19,III,FZ247,MOUNM_FZ247,2068,-5.370194444,-79.57591667,48.33,19.67,5.11,1.3,0.85,0.23,5.09,2.49,3.3,3.2
paniculata,19,III,PJ169,MO4989671,2700,-4.056666667,-79.89472222,54,20,4.1,1.56,0.9,0.2,5.07,2.35,3.14,3.07
paniculata,19,III,RR3379,MOUNM_RR3379,2300,-10.62361111,-75.29527778,77,25.67,2.46,1.33,0.93,0.3,5.07,1.97,5.51,5
paniculata,19,III,HS1748,MO2186797,2000,11.1,-74.03333333,79.33,27.83,3.82,1.39,0.74,0.25,5.02,2.45,3.09,2.93
paniculata,19,III,FZ248,MOUNM_FZ248,2068,-5.370194444,-79.57611111,50,20,4.32,1.16,0.77,0.27,5,2.36,3.1,2.8
paniculata,19,III,FZ245,MOUNM_FZ245,2045,-5.368166667,-79.57561111,56.67,19,3.23,1.51,1.05,0.24,4.97,2.6,3.25,3.2
paniculata,19,III,JW594,GH_JW594,2200,-6.216666667,-77.81666667,56.33,21,2.15,1.86,0.89,0.41,4.91,2.32,2.94,2.7
paniculata,19,III,FZ246,MOUNM_FZ246,2045,-5.368166667,-79.57583333,60.67,21.67,3.8,1.26,1.02,0.25,4.84,2.44,3.33,3.14
discolor,19,III,FZ84,ANDES_4,2776,4.984722222,-74.14694444,54.03,18.03,4.33,1.6,1,0.43,4.8,2.2,2.33,1.5
discolor,19,III,EK17990,NY_EK17990,2500,7.328611111,-72.91111111,48.67,17.67,3.16,1.77,1.18,0.65,4.76,2.85,2.6,2.1
paniculata,19,III,BR7415,US3126523,2470,10.21666667,-73,77.67,23,1.99,1.64,0.72,0.24,4.74,2.64,2.8,2.7
paniculata,19,III,AS14179,MO5708550,2200,-7.066666667,-77.91666667,66,17,3.26,1.32,0.6,0.3,4.73,2.26,2.7,2.6
paniculata,19,III,RK541,MO4593629,1650,8.865,-70.69444444,73.33,22,3.77,1.38,0.68,0.29,4.71,2.62,3,2.5
discolor,19,III,JC13460,US1851341,2880,7.232777778,-72.45,61.67,23.33,3.83,1.79,0.99,0.66,4.64,2.91,2.95,2.73
paniculata,19,III,JW11465,K175,2200,-17.79277778,-64.71555556,99,37,3.3,1.25,0.65,0.25,4.6,2.01,3.55,2.95
paniculata,19,III,DB56,MO3211954,1168,10.35,-67.04166667,83.67,24.33,3.93,1.29,0.64,0.21,4.51,2.53,3.2,2.8
paniculata,19,III,TC21834,MO2434767,2000,10.53333333,-66.87944444,75.33,26.67,3.62,1.38,0.58,0.23,4.51,2.6,2.97,2.87
paniculata,19,III,HG12283,US1933255,2500,4.879166667,-75.13277778,86.67,23.33,3.45,1.61,0.62,0.22,4.4,2.37,2.6,2.4
paniculata,19,III,FZ271,MOUNM_FZ271,2432,-16.27555556,-67.79180556,79.33,27,3.76,1.26,0.67,0.21,4.35,2.12,3,2.6
paniculata,19,III,JS127754,MO3213772,2100,10.45,-67.35,85.67,27,3.1,1.29,0.78,0.32,4.34,2.5,2.8,2.7
paniculata,19,III,EK17141,MO993735,2500,7.369444444,-72.90944444,73.33,25.67,2.23,1.6,0.77,0.26,4.29,2.83,2.52,2.31
paniculata,19,III,Hv_8023,MO3507018,1750,9.666666667,-70.41666667,84.33,24.33,3.14,1.31,0.57,0.23,4.15,2.27,2.6,2.5
paniculata,19,III,SY359,US1952530,2500,2.341944444,-76.4925,92.67,27,3.45,1.22,0.63,0.21,4.1,2.48,2.7,2.49
discolor,19,III,FZ83,ANDES_3,2776,4.955555556,-74.16388889,54.07,23,5.13,1.57,0.9,0.57,4.03,2.07,2.07,1.47
paniculata,19,III,LH18441,MO5695947,1800,-0.366666667,-78.8,66.67,25.33,3.15,1.42,0.67,0.19,4.02,2.26,2.17,2.16
paniculata,19,III,BH18666,F2141538,2000,9.483333333,-83.68333333,68,22.67,3.3,1.24,0.57,0.24,4.01,2.11,2.51,2.4
