,SampleName,SpeciesID,SpecimenID,taxon,country,Elevation,Latitude,Longitude,class.dim2.n0,probass.dim2.n0.g1,probass.dim2.n0.g2,probass.dim2.n0.g3,probass.dim2.n0.g4,probass.dim2.n0.g5,probass.dim2.n0.g6,probass.dim2.n0.g7,NMDS1.dim2.n0,NMDS2.dim2.n0,class.dim3.n0,probass.dim3.n0.g1,probass.dim3.n0.g2,probass.dim3.n0.g3,probass.dim3.n0.g4,probass.dim3.n0.g5,probass.dim3.n0.g6,probass.dim3.n0.g7,probass.dim3.n0.g8,NMDS1.dim3.n0,NMDS2.dim3.n0,NMDS3.dim3.n0,class.dim4.n0,probass.dim4.n0.g1,probass.dim4.n0.g2,probass.dim4.n0.g3,probass.dim4.n0.g4,probass.dim4.n0.g5,probass.dim4.n0.g6,probass.dim4.n0.g7,probass.dim4.n0.g8,probass.dim4.n0.g9,NMDS1.dim4.n0,NMDS2.dim4.n0,NMDS3.dim4.n0,NMDS4.dim4.n0
32,FZU10406C_E_tucumanensis_Plate3,FZU10406C_E_tucumanensis,FZU10406C,tucumanensis,Bolivia,1670,-21.43,-64.27,2,4.01E-47,1,2.88E-127,0,1.74E-60,0,3.35E-45,-0.014723308,-0.025573836,2,3.21E-39,1,6.85E-115,3.13E-89,2.73E-105,4.14E-303,0,1.30E-244,0.042530468,-0.053372082,0.044508129,1,1,1.27E-72,1.45E-113,1.34E-119,5.10E-75,0,0,1.65E-129,0,0.027527486,0.040729148,-0.005728116,-0.002337954
33,IA1263_E_tucumanensis_Plate3,IA1263_E_tucumanensis,IA1263,tucumanensis,Argentina,1300,-22.17,-64.68,2,6.28E-51,1,7.77E-134,0,3.02E-60,0,1.76E-46,-0.014570342,-0.028170114,2,9.70E-40,1,1.59E-131,6.23E-85,1.20E-115,3.04E-289,0,3.56E-237,0.044534736,-0.064423378,0.040046754,1,1,8.93E-81,7.07E-129,1.08E-110,1.25E-79,0,0,5.72E-149,0,0.028211741,0.042851344,-0.012881862,-0.004018493
34,JW11630_E_tucumanensis_Plate3,JW11630_E_tucumanensis,JW11630,tucumanensis,Bolivia,2000,-21.42,-64.3,2,1.10E-57,1,3.15E-130,0,7.87E-63,0,6.02E-44,-0.016246554,-0.029793711,2,2.88E-43,1,4.66E-133,1.39E-87,5.41E-115,7.15E-295,0,7.78E-244,0.048455343,-0.069232318,0.041186435,1,1,3.55E-87,2.51E-132,1.97E-113,1.28E-87,0,0,2.97E-148,0,0.030498916,0.044786936,-0.014049957,-0.00120002
35,LF10_E_farinacea_Plate2,LF10_E_farinacea,LF10,farinacea,Brazil,927,-25.51266667,-49.054,4,4.47E-28,3.97E-44,8.64E-137,1,7.93E-60,0,2.25E-74,-0.005075203,0.034070512,4,6.91E-34,2.74E-86,3.20E-238,1,1.92E-183,3.69E-246,0,1.01E-220,0.03482211,0.011211519,-0.098613876,4,4.68E-117,1.16E-89,7.04E-222,1,6.73E-73,0,0,3.44E-265,0,0.01670306,-0.036814498,-0.049004701,-0.00349783
36,LF15_E_farinacea_Plate2,LF15_E_farinacea,LF15,farinacea,Brazil,914,-25.49,-49.04,4,2.50E-22,5.86E-41,1.97E-142,1,5.31E-57,0,6.83E-76,-0.003715886,0.030602706,4,7.77E-26,3.49E-79,1.01E-222,1,2.72E-176,6.04E-240,0,3.48E-209,0.027343689,0.018237324,-0.090580472,4,5.72E-109,2.86E-69,3.58E-203,1,1.34E-58,0,0,1.47E-237,0,0.014460571,-0.038991286,-0.041641435,0.002079214
37,LF63_E_farinacea_Plate1,LF63_E_farinacea,LF63,farinacea,Brazil,1116,-27.89,-50.14,4,2.94E-23,6.13E-40,1.99E-135,1,2.19E-58,0,6.35E-73,-0.004885614,0.030456248,4,5.37E-27,5.55E-77,2.60E-222,1,1.80E-173,5.16E-243,0,1.91E-213,0.031350023,0.013416901,-0.089843287,4,6.70E-107,1.72E-74,1.34E-203,1,8.85E-61,0,0,4.13E-243,0,0.015620817,-0.036609504,-0.043415985,-0.001806183
38,LF64_E_farinacea_Plate2,LF64_E_farinacea,LF64,farinacea,Brazil,1116,-27.89,-50.14,4,6.61E-21,1.21E-40,7.00E-146,1,1.35E-55,0,5.71E-77,-0.003033071,0.030287476,4,9.05E-25,6.20E-78,2.87E-224,1,2.13E-178,6.18E-235,0,1.38E-204,0.025827071,0.016516906,-0.089211071,4,1.32E-107,2.60E-70,1.13E-201,1,9.99E-56,0,0,7.72E-244,0,0.013783808,-0.037735914,-0.042105475,-0.003675296
39,LF80_E_farinacea_Plate2,LF80_E_farinacea,LF80,farinacea,Brazil,958,-25.47,-49.77,4,2.63E-24,2.12E-43,8.31E-146,1,2.66E-57,0,8.04E-78,-0.00336379,0.032304906,4,2.46E-30,9.69E-84,1.95E-240,1,1.33E-188,3.04E-233,0,8.91E-208,0.029196869,0.009913376,-0.095137834,4,2.38E-115,4.35E-82,2.38E-228,1,2.41E-67,0,3.21E-304,1.86E-268,0,0.013130208,-0.035452814,-0.048261053,-0.000633815
40,LF81_E_farinacea_Plate2,LF81_E_farinacea,LF81,farinacea,Brazil,958,-25.47,-49.77,4,2.15E-26,2.98E-44,1.64E-142,1,1.26E-58,0,8.97E-77,-0.004059019,0.033334862,4,1.49E-31,1.14E-85,1.93E-233,1,8.74E-182,4.59E-245,0,1.76E-217,0.031652481,0.015823816,-0.097179664,4,1.28E-116,3.21E-80,3.36E-220,1,2.12E-70,0,0,5.97E-251,0,0.015677441,-0.039001582,-0.046010575,0.005679742
41,WP152_E_farinacea_Plate2,WP152_E_farinacea,WP152,farinacea,Brazil,1796,-22.76136111,-45.54916667,4,8.56E-27,1.07E-42,4.41E-135,1,7.71E-60,0,1.72E-73,-0.005247252,0.032804889,4,3.06E-33,9.24E-82,1.42E-239,1,2.48E-183,1.15E-241,0,5.89E-218,0.036595551,0.003632483,-0.095456278,4,3.94E-113,1.23E-88,8.79E-227,1,1.76E-75,0,0,2.37E-262,0,0.017052774,-0.034042432,-0.04969855,0.002242895
42,WP154_E_farinacea_Plate2,WP154_E_farinacea,WP154,farinacea,Brazil,1796,-22.76,-45.55,4,4.76E-24,3.80E-41,1.29E-137,1,1.54E-58,0,3.70E-74,-0.004624727,0.031109644,4,5.13E-30,7.93E-78,6.44E-235,1,2.43E-181,4.05E-237,0,4.18E-212,0.03407549,0.003711457,-0.091520695,4,7.34E-107,1.01E-83,2.06E-214,1,2.15E-69,0,0,3.67E-253,0,0.017324477,-0.033203905,-0.047369546,-0.000879511
43,WP158_E_farinacea_Plate2,WP158_E_farinacea,WP158,farinacea,Brazil,1872,-22.77,-45.54,4,3.30E-25,8.67E-42,1.84E-136,1,3.58E-59,0,7.06E-74,-0.004905579,0.031760406,4,7.90E-32,6.94E-81,1.12E-241,1,1.55E-186,3.62E-235,0,9.69E-212,0.034000651,0.002619583,-0.094119093,4,1.46E-110,6.60E-82,3.02E-221,1,2.58E-71,0,0,1.00E-252,0,0.016398547,-0.034774737,-0.047315595,0.004947723
44,WP160_E_farinacea_Plate2,WP160_E_farinacea,WP160,farinacea,Brazil,1808,-22.77,-45.53,4,1.48E-18,1.95E-39,6.37E-149,1,1.63E-53,0,1.78E-77,-0.002308741,0.02958649,4,8.38E-27,4.09E-78,2.89E-242,1,5.83E-192,5.13E-220,0,1.56E-195,0.025958536,0.003688871,-0.089795561,4,6.65E-107,3.09E-73,4.64E-220,1,2.91E-61,0,2.48E-295,1.28E-255,0,0.01263761,-0.033436707,-0.045582658,0.002076913
